id,date,first_visit,revenue
1,2020-09-06,2020-02-01,15
1,2020-07-02,2020-02-01,60
1,2020-06-21,2020-02-01,40
1,2020-02-01,2020-02-01,30
1,2020-06-12,2020-02-01,50
1,2020-05-26,2020-02-01,60
1,2020-03-22,2020-02-01,15
1,2020-07-12,2020-02-01,35
1,2020-02-25,2020-02-01,30
1,2020-08-17,2020-02-01,35
1,2021-05-18,2020-02-01,55
1,2021-01-04,2020-02-01,45
1,2021-11-25,2020-02-01,25
1,2021-04-14,2020-02-01,25
1,2021-02-18,2020-02-01,45
1,2021-07-26,2020-02-01,15
1,2021-05-09,2020-02-01,50
1,2021-12-26,2020-02-01,25
1,2021-06-21,2020-02-01,50
1,2021-10-02,2020-02-01,50
1,2021-08-20,2020-02-01,20
1,2021-06-15,2020-02-01,25
1,2022-07-10,2020-02-01,60
1,2022-09-04,2020-02-01,15
1,2022-03-14,2020-02-01,40
1,2022-05-16,2020-02-01,25
1,2022-03-15,2020-02-01,55
1,2022-08-08,2020-02-01,15
1,2022-05-14,2020-02-01,50
1,2022-03-23,2020-02-01,45
1,2022-07-25,2020-02-01,45
1,2022-01-08,2020-02-01,50
1,2022-09-21,2020-02-01,55
1,2022-06-16,2020-02-01,50
1,2023-06-08,2020-02-01,40
1,2023-07-03,2020-02-01,15
1,2023-11-03,2020-02-01,15
1,2023-07-01,2020-02-01,45
1,2023-04-27,2020-02-01,25
1,2023-04-05,2020-02-01,25
1,2023-03-10,2020-02-01,55
1,2023-01-07,2020-02-01,60
1,2023-05-26,2020-02-01,30
1,2023-05-09,2020-02-01,25
1,2023-04-07,2020-02-01,20
1,2023-01-09,2020-02-01,35
1,2023-03-08,2020-02-01,55
1,2024-02-23,2020-02-01,50
1,2024-05-14,2020-02-01,50
1,2024-07-07,2020-02-01,15
1,2024-07-27,2020-02-01,55
1,2024-07-09,2020-02-01,50
1,2024-04-15,2020-02-01,25
1,2024-07-15,2020-02-01,50
1,2024-05-26,2020-02-01,55
1,2024-11-10,2020-02-01,20
1,2024-09-13,2020-02-01,15
1,2024-08-19,2020-02-01,15
2,2020-06-12,2020-02-25,15
2,2020-10-12,2020-02-25,35
2,2020-04-20,2020-02-25,20
2,2020-05-11,2020-02-25,30
2,2020-08-26,2020-02-25,15
2,2020-04-23,2020-02-25,20
2,2020-02-25,2020-02-25,45
2,2020-04-07,2020-02-25,55
2,2020-03-01,2020-02-25,40
2,2020-10-01,2020-02-25,60
2,2020-09-25,2020-02-25,60
2,2020-07-27,2020-02-25,35
2,2020-10-25,2020-02-25,60
2,2021-10-17,2020-02-25,45
2,2021-01-05,2020-02-25,55
2,2021-06-17,2020-02-25,20
2,2021-05-24,2020-02-25,40
2,2021-04-17,2020-02-25,25
2,2021-02-27,2020-02-25,60
2,2021-05-17,2020-02-25,60
2,2021-11-02,2020-02-25,30
2,2021-05-02,2020-02-25,35
2,2021-06-22,2020-02-25,35
2,2021-08-23,2020-02-25,60
2,2021-05-05,2020-02-25,50
2,2021-11-01,2020-02-25,35
2,2021-11-01,2020-02-25,20
2,2021-04-19,2020-02-25,20
2,2021-06-02,2020-02-25,15
2,2022-06-03,2020-02-25,20
2,2022-07-20,2020-02-25,15
2,2022-07-27,2020-02-25,25
2,2022-02-04,2020-02-25,35
2,2022-05-19,2020-02-25,25
2,2022-04-26,2020-02-25,45
2,2022-09-03,2020-02-25,60
2,2022-06-19,2020-02-25,20
2,2022-12-20,2020-02-25,35
2,2022-05-07,2020-02-25,25
2,2022-09-20,2020-02-25,20
2,2022-09-09,2020-02-25,30
2,2022-03-01,2020-02-25,55
2,2022-06-08,2020-02-25,55
2,2022-08-07,2020-02-25,40
2,2023-03-16,2020-02-25,45
2,2023-05-16,2020-02-25,15
2,2023-02-03,2020-02-25,25
2,2023-10-20,2020-02-25,20
2,2023-10-24,2020-02-25,55
2,2023-04-22,2020-02-25,60
2,2023-07-24,2020-02-25,50
2,2023-09-01,2020-02-25,25
2,2023-07-24,2020-02-25,60
2,2023-06-20,2020-02-25,50
2,2023-04-11,2020-02-25,60
2,2023-02-17,2020-02-25,50
2,2023-10-08,2020-02-25,50
2,2023-10-04,2020-02-25,30
2,2023-07-06,2020-02-25,45
2,2023-05-08,2020-02-25,60
2,2023-05-20,2020-02-25,50
2,2024-05-01,2020-02-25,60
2,2024-11-16,2020-02-25,35
2,2024-11-12,2020-02-25,55
2,2024-04-27,2020-02-25,55
2,2024-04-19,2020-02-25,25
2,2024-06-22,2020-02-25,25
2,2024-06-23,2020-02-25,50
2,2024-12-22,2020-02-25,45
2,2024-03-14,2020-02-25,55
2,2024-01-06,2020-02-25,20
2,2024-06-06,2020-02-25,20
2,2024-03-13,2020-02-25,45
2,2024-05-19,2020-02-25,50
2,2024-08-22,2020-02-25,25
2,2024-08-08,2020-02-25,15
3,2020-07-16,2020-04-03,60
3,2020-07-19,2020-04-03,45
3,2020-10-04,2020-04-03,40
3,2020-04-03,2020-04-03,15
3,2021-01-09,2020-04-03,55
3,2021-12-05,2020-04-03,40
3,2021-06-24,2020-04-03,35
3,2021-04-17,2020-04-03,25
3,2021-10-14,2020-04-03,55
3,2022-11-03,2020-04-03,45
3,2022-10-18,2020-04-03,30
3,2022-04-25,2020-04-03,15
3,2022-05-10,2020-04-03,30
3,2022-10-22,2020-04-03,25
3,2023-07-27,2020-04-03,40
3,2023-02-10,2020-04-03,15
3,2023-07-02,2020-04-03,30
3,2023-12-26,2020-04-03,15
3,2023-03-17,2020-04-03,15
3,2024-03-18,2020-04-03,40
3,2024-08-25,2020-04-03,40
3,2024-07-24,2020-04-03,55
3,2024-04-13,2020-04-03,45
3,2024-05-26,2020-04-03,40
4,2020-07-12,2020-01-13,25
4,2020-08-12,2020-01-13,25
4,2020-09-05,2020-01-13,35
4,2020-10-07,2020-01-13,40
4,2020-05-04,2020-01-13,40
4,2020-05-06,2020-01-13,50
4,2020-02-13,2020-01-13,50
4,2020-07-20,2020-01-13,15
4,2020-01-15,2020-01-13,25
4,2020-06-03,2020-01-13,35
4,2020-06-23,2020-01-13,55
4,2020-04-08,2020-01-13,30
4,2020-07-20,2020-01-13,35
4,2020-01-16,2020-01-13,15
4,2020-01-13,2020-01-13,45
4,2020-09-18,2020-01-13,20
4,2020-05-10,2020-01-13,15
4,2020-02-19,2020-01-13,20
4,2020-06-17,2020-01-13,50
4,2020-08-24,2020-01-13,15
4,2021-06-05,2020-01-13,15
4,2021-02-22,2020-01-13,15
4,2021-01-23,2020-01-13,20
4,2021-11-03,2020-01-13,15
4,2021-09-12,2020-01-13,20
4,2021-08-26,2020-01-13,45
4,2021-05-16,2020-01-13,15
4,2021-03-19,2020-01-13,60
4,2021-03-05,2020-01-13,20
4,2021-04-22,2020-01-13,25
4,2021-06-25,2020-01-13,20
4,2021-08-14,2020-01-13,25
4,2021-07-05,2020-01-13,45
4,2021-04-15,2020-01-13,20
4,2021-11-17,2020-01-13,25
4,2021-08-14,2020-01-13,40
4,2022-03-20,2020-01-13,30
4,2022-01-24,2020-01-13,15
4,2022-08-12,2020-01-13,50
4,2022-09-18,2020-01-13,45
4,2022-05-03,2020-01-13,50
4,2022-06-01,2020-01-13,55
4,2022-07-01,2020-01-13,55
4,2022-01-19,2020-01-13,25
4,2022-11-11,2020-01-13,55
4,2022-10-05,2020-01-13,40
4,2022-04-12,2020-01-13,60
4,2022-01-03,2020-01-13,60
4,2022-11-01,2020-01-13,20
4,2022-06-01,2020-01-13,15
4,2022-06-08,2020-01-13,30
4,2022-08-10,2020-01-13,55
4,2022-07-11,2020-01-13,20
4,2022-11-12,2020-01-13,15
4,2022-11-13,2020-01-13,20
4,2022-10-12,2020-01-13,45
4,2022-07-14,2020-01-13,35
4,2023-02-25,2020-01-13,35
4,2023-08-04,2020-01-13,60
4,2023-02-10,2020-01-13,30
4,2023-05-05,2020-01-13,15
4,2023-09-09,2020-01-13,50
4,2023-01-24,2020-01-13,15
4,2023-09-03,2020-01-13,60
4,2023-04-17,2020-01-13,25
4,2023-02-03,2020-01-13,20
4,2023-08-16,2020-01-13,20
4,2023-07-04,2020-01-13,55
4,2023-10-18,2020-01-13,55
4,2023-08-17,2020-01-13,35
4,2023-09-07,2020-01-13,20
4,2024-10-20,2020-01-13,60
4,2024-07-19,2020-01-13,45
4,2024-04-26,2020-01-13,50
4,2024-08-15,2020-01-13,55
4,2024-08-16,2020-01-13,30
4,2024-04-21,2020-01-13,15
4,2024-05-05,2020-01-13,45
4,2024-06-03,2020-01-13,45
4,2024-06-12,2020-01-13,15
4,2024-05-25,2020-01-13,30
4,2024-04-20,2020-01-13,30
4,2024-02-27,2020-01-13,15
4,2024-02-21,2020-01-13,45
4,2024-11-04,2020-01-13,25
4,2024-09-21,2020-01-13,15
4,2024-05-23,2020-01-13,45
4,2024-11-16,2020-01-13,25
4,2024-08-25,2020-01-13,25
5,2020-02-13,2020-02-05,25
5,2020-06-08,2020-02-05,30
5,2020-06-10,2020-02-05,35
5,2020-10-09,2020-02-05,15
5,2020-05-18,2020-02-05,25
5,2020-02-27,2020-02-05,15
5,2020-03-26,2020-02-05,25
5,2020-08-02,2020-02-05,25
5,2020-07-05,2020-02-05,30
5,2020-02-05,2020-02-05,60
5,2020-02-06,2020-02-05,15
5,2021-05-13,2020-02-05,35
5,2021-05-18,2020-02-05,30
5,2021-09-26,2020-02-05,35
5,2021-11-20,2020-02-05,40
5,2021-12-08,2020-02-05,25
5,2021-08-09,2020-02-05,25
5,2021-05-07,2020-02-05,35
5,2021-02-01,2020-02-05,35
5,2021-09-03,2020-02-05,55
5,2021-07-13,2020-02-05,45
5,2021-05-25,2020-02-05,40
5,2021-10-17,2020-02-05,20
5,2021-02-25,2020-02-05,55
5,2021-06-24,2020-02-05,60
5,2022-06-17,2020-02-05,25
5,2022-09-14,2020-02-05,45
5,2022-11-15,2020-02-05,50
5,2022-07-01,2020-02-05,55
5,2022-05-21,2020-02-05,35
5,2022-01-22,2020-02-05,40
5,2022-10-22,2020-02-05,40
5,2022-10-03,2020-02-05,35
5,2022-04-16,2020-02-05,45
5,2022-08-23,2020-02-05,15
5,2022-02-25,2020-02-05,35
5,2022-03-11,2020-02-05,60
5,2023-11-09,2020-02-05,40
5,2023-10-04,2020-02-05,25
5,2023-06-27,2020-02-05,20
5,2023-07-22,2020-02-05,30
5,2023-04-17,2020-02-05,25
5,2023-03-09,2020-02-05,40
5,2023-06-01,2020-02-05,40
5,2023-05-21,2020-02-05,30
5,2023-07-20,2020-02-05,30
5,2023-02-13,2020-02-05,60
5,2024-03-01,2020-02-05,60
5,2024-10-18,2020-02-05,60
5,2024-09-15,2020-02-05,20
5,2024-11-17,2020-02-05,45
5,2024-08-11,2020-02-05,55
5,2024-07-21,2020-02-05,55
5,2024-05-26,2020-02-05,60
5,2024-11-25,2020-02-05,20
5,2024-10-22,2020-02-05,55
