id,visit_gap
1,119.75
2,34.523809523809526
3,31.861538461538462
4,57.5
5,12.0
6,144.0
7,22.0
8,72.0
9,112.77777777777777
10,53.666666666666664
11,14.502564102564103
12,26.8
13,337.5
14,68.3
15,133.0
16,
17,475.3333333333333
18,273.6666666666667
19,56.473684210526315
20,
21,50.0
22,55.8
23,
24,
25,
26,35.0
27,31.5
28,96.6470588235294
29,295.875
30,40.35897435897436
31,372.0
32,94.57142857142857
33,547.3333333333334
34,114.56521739130434
35,39.32
36,1841.0
37,78.75
38,
39,
40,16.676470588235293
41,380.0
42,39.924528301886795
43,61.84848484848485
44,
45,
46,7.0
47,36.27777777777778
48,80.28571428571429
49,128.0
50,55.5
51,
52,120.0
53,
54,115.25
55,43.1
56,
57,40.0
58,
59,50.0
60,
61,126.0
62,
63,25.0625
64,153.6153846153846
65,
66,
67,47.81818181818182
68,
69,
70,65.0
71,
72,240.6
73,42.0
74,
75,
76,
77,73.0
78,
79,
80,35.325
81,45.5
82,39.0
83,
84,142.52941176470588
85,
86,29.0
87,36.5
88,
89,
90,54.25
91,27.22222222222222
92,
93,27.0
94,
95,
96,1288.0
97,55.31818181818182
98,48.666666666666664
99,39.70422535211268
100,
101,160.0
102,
103,
104,55.06060606060606
105,39.5
106,41.5
107,
108,43.953125
109,
110,
111,41.27272727272727
112,100.0
113,61.25
114,53.92307692307692
115,
116,58.333333333333336
117,51.77777777777778
118,
119,28.0
120,
121,
122,178.5
123,76.61111111111111
124,196.125
125,49.0
126,79.15384615384616
127,28.0
128,
129,106.0
130,
131,392.0
132,111.95
133,31.61904761904762
134,45.25806451612903
135,229.0
136,
137,99.64285714285714
138,164.5
139,313.0
140,98.0
141,128.04761904761904
142,27.0
143,183.8181818181818
144,115.70833333333333
145,74.0
146,
147,
148,
149,197.5
150,110.6
151,37.8
152,490.0
153,63.0
154,
155,37.0
156,37.0
157,99.0
158,50.8
159,567.0
160,34.5
161,
162,36.78048780487805
163,63.6
164,217.0
165,38.0
166,37.595238095238095
167,
168,
169,27.75
170,525.0
171,56.75
172,61.09090909090909
173,
174,31.0
175,
176,62.833333333333336
177,
178,27.013698630136986
179,
180,
181,80.0
182,
183,
184,
185,28.040816326530614
186,67.77777777777777
187,
188,27.524752475247524
189,
190,
191,35.5
192,
193,82.5
194,
195,
196,1168.0
197,
198,24.678571428571427
199,
200,30.166666666666668
201,58.78787878787879
202,51.666666666666664
203,
204,51.625
205,36.53333333333333
206,
207,420.0
208,44.39473684210526
209,34.8421052631579
210,
211,98.0
212,
213,
214,395.6666666666667
215,27.5
216,
217,108.0
218,54.794117647058826
219,
220,
221,171.16666666666666
222,71.75
223,89.81818181818181
224,403.4
225,36.611111111111114
226,53.23255813953488
227,
228,
229,25.52777777777778
230,
231,
232,
233,376.0
234,90.12
235,
236,
237,
238,
239,43.0
240,
241,808.0
242,200.6
243,54.57142857142857
244,82.0
245,213.0
246,
247,83.36363636363636
248,
249,62.38095238095238
250,
251,926.0
252,68.55
253,
254,
255,
256,59.529411764705884
257,
258,
259,15.514124293785311
260,50.51851851851852
261,59.0
262,160.5
263,
264,71.96
265,93.4
266,75.13888888888889
267,
268,
269,67.2
270,44.75
271,280.57142857142856
272,
273,37.714285714285715
274,149.83333333333334
275,84.0
276,68.0
277,98.44444444444444
278,85.63636363636364
279,
280,
281,37.0
282,
283,287.5
284,48.916666666666664
285,7.0
286,114.33333333333333
287,175.0
288,
289,61.90243902439025
290,
291,37.72727272727273
292,32.175438596491226
293,198.0
294,
295,
296,196.375
297,
298,
299,435.0
300,
301,
302,95.4
303,
304,414.0
305,68.125
306,
307,72.2258064516129
308,
309,
310,48.0
311,44.166666666666664
312,203.0
313,
314,114.66666666666667
315,38.05882352941177
316,14.0
317,35.6
318,
319,
320,31.724137931034484
321,
322,55.224489795918366
323,49.0
324,67.22222222222223
325,48.88461538461539
326,61.0
327,1792.0
328,274.57142857142856
329,47.83870967741935
330,50.142857142857146
331,
332,35.333333333333336
333,27.181818181818183
334,31.88888888888889
335,
336,
337,60.77272727272727
338,
339,
340,189.5
341,
342,38.666666666666664
343,
344,65.73913043478261
345,31.458823529411763
346,17.0
347,
348,679.0
349,108.18181818181819
350,170.0
351,108.83333333333333
352,112.0
353,31.821428571428573
354,145.0
355,25.03846153846154
356,
357,
358,88.4375
359,17.742857142857144
360,20.0
361,
362,
363,166.9
364,56.93181818181818
365,62.02325581395349
366,73.54545454545455
367,
368,37.22222222222222
369,112.0
370,35.5
371,58.91111111111111
372,362.0
373,2057.0
374,
375,42.23076923076923
376,147.0
377,2177.0
378,1187.0
379,
380,45.0
381,37.25806451612903
382,33.75
383,51.285714285714285
384,167.66666666666666
385,29.794117647058822
386,21.333333333333332
387,
388,86.25
389,126.71428571428571
390,67.0
391,
392,90.875
393,28.76
394,161.0
395,199.0
396,93.42857142857143
397,
398,72.04166666666667
399,34.5
400,56.45454545454545
401,
402,129.25
403,48.0
404,
405,94.86666666666666
406,
407,
408,145.0625
409,
410,8.012269938650308
411,84.66666666666667
412,64.2
413,
414,
415,34.0
416,20.0
417,50.09615384615385
418,17.5
419,
420,63.25
421,53.38461538461539
422,18.75
423,49.40384615384615
424,41.44444444444444
425,58.0
426,50.0
427,44.275862068965516
428,
429,
430,33.25
431,
432,197.0
433,
434,46.25
435,18.2
436,
437,244.5
438,50.78260869565217
439,
440,
441,57.25
442,
443,
444,145.2
445,33.83076923076923
446,
447,419.6666666666667
448,
449,33.56
450,221.5
451,26.555555555555557
452,79.0
453,
454,
455,13.0
456,210.75
457,52.26923076923077
458,
459,
460,
461,48.15384615384615
462,
463,
464,
465,32.96078431372549
466,
467,15.0
468,
469,613.6666666666666
470,54.75
471,51.81818181818182
472,16.0
473,29.714285714285715
474,21.5
475,86.0
476,21.483870967741936
477,57.0
478,
479,31.15
480,92.5
481,60.0
482,37.34848484848485
483,38.4
484,56.61538461538461
485,40.90163934426229
486,69.64285714285714
487,75.10526315789474
488,105.9090909090909
489,
490,67.4054054054054
491,101.84615384615384
492,22.8
493,
494,647.0
495,216.33333333333334
496,
497,31.875
498,120.75
499,48.0
500,11.68867924528302
501,
502,
503,36.0
504,46.0
505,146.9
506,
507,14.0
508,216.0
509,143.66666666666666
510,14.68452380952381
511,
512,26.49462365591398
513,
514,53.0
515,31.2
516,21.5
517,63.80952380952381
518,
519,322.0
520,65.16666666666667
521,69.0
522,94.63157894736842
523,
524,89.72727272727273
525,101.5
526,22.0
527,45.333333333333336
528,58.97560975609756
529,344.25
530,45.53488372093023
531,3.0
532,131.0625
533,51.666666666666664
534,43.0
535,
536,
537,10.0
538,151.0
539,
540,76.35714285714286
541,
542,133.875
543,56.0
544,17.0
545,52.5
546,53.5
547,126.0
548,237.5
549,319.85714285714283
550,
551,28.0
552,36.13636363636363
553,
554,
555,74.3
556,
557,51.333333333333336
558,13.666666666666666
559,8.0
560,93.0
561,37.333333333333336
562,68.27272727272727
563,
564,
565,14.867088607594937
566,210.33333333333334
567,
568,
569,64.0
570,29.4
571,
572,34.0
573,42.0
574,
575,
576,
577,
578,
579,109.25
580,
581,172.33333333333334
582,110.75
583,
584,
585,23.5
586,
587,79.85714285714286
588,383.0
589,29.390243902439025
590,
591,36.75
592,42.5
593,56.0
594,46.16216216216216
595,87.28571428571429
596,72.33333333333333
597,42.5
598,
599,
600,91.95652173913044
601,39.13793103448276
602,
603,104.3
604,
605,
606,22.0
607,8.0
608,21.660377358490567
609,36.5
610,
611,56.0
612,16.66417910447761
613,25.0
614,
615,38.666666666666664
616,35.0
617,35.0
618,72.0
619,40.0377358490566
620,
621,40.0
622,135.27272727272728
623,39.5
624,65.1923076923077
625,
626,29.5
627,243.0
628,
629,223.0
630,
631,
632,37.05172413793103
633,26.863636363636363
634,28.0
635,256.14285714285717
636,
637,38.160714285714285
638,11.152
639,20.0
640,118.52941176470588
641,230.33333333333334
642,224.71428571428572
643,
644,35.416666666666664
645,20.0
646,
647,76.25
648,35.285714285714285
649,74.71428571428571
650,128.26666666666668
651,26.52173913043478
652,
653,
654,10.97872340425532
655,35.0
656,
657,32.75
658,32.0
659,
660,121.70588235294117
661,312.8333333333333
662,
663,
664,
665,
666,70.0
667,101.2
668,
669,167.88888888888889
670,91.0
671,35.57142857142857
672,27.5
673,250.0
674,645.0
675,78.0
676,60.10344827586207
677,48.333333333333336
678,373.0
679,573.5
680,49.0
681,30.074626865671643
682,76.36363636363636
683,78.12
684,71.82142857142857
685,26.3953488372093
686,
687,
688,63.333333333333336
689,
690,22.0
691,28.0
692,
693,79.8
694,52.0
695,54.25
696,46.0
697,313.75
698,
699,
700,
701,
702,66.14814814814815
703,
704,63.06666666666667
705,65.06666666666666
706,72.0
707,376.0
708,37.166666666666664
709,
710,50.11764705882353
711,38.81818181818182
712,15.761904761904763
713,671.0
714,
715,
716,38.68181818181818
717,
718,21.333333333333332
719,144.0
720,
721,
722,
723,11.333333333333334
724,45.717948717948715
725,263.7142857142857
726,70.51851851851852
727,115.0
728,24.6
729,49.6
730,28.0
731,
732,49.588235294117645
733,76.75
734,34.666666666666664
735,70.65384615384616
736,
737,296.75
738,47.64102564102564
739,119.0
740,52.65
741,
742,29.5
743,
744,92.0
745,18.0
746,36.0
747,591.0
748,53.0
749,20.254545454545454
750,53.0
751,389.0
752,44.333333333333336
753,32.55555555555556
754,
755,127.6
756,
757,37.583333333333336
758,58.6
759,96.85714285714286
760,112.86666666666666
761,743.0
762,194.0
763,764.0
764,
765,24.833333333333332
766,18.4
767,49.638888888888886
768,96.33333333333333
769,127.5
770,23.4
771,72.33333333333333
772,63.0
773,
774,31.13953488372093
775,
776,332.0
777,
778,27.5
779,45.05555555555556
780,29.2
781,215.33333333333334
782,115.0
783,72.0
784,28.0
785,58.875
786,56.083333333333336
787,40.2
788,88.53333333333333
789,
790,
791,276.0
792,280.0
793,
794,216.5
795,51.15625
796,1396.0
797,
798,53.54545454545455
799,60.48148148148148
800,
801,294.5
802,57.42857142857143
803,43.1578947368421
804,
