id,lifetime_value
1,2150
2,2930
3,850
4,2970
5,2175
6,250
7,790
8,1820
9,2195
10,855
11,3110
12,150
13,2185
14,735
15,280
16,1270
17,285
18,50
19,2965
20,250
21,1790
22,735
23,85
24,385
25,35
26,120
27,700
28,905
29,1720
30,270
31,1130
32,2085
33,2140
34,1355
35,1040
36,3995
37,1840
38,205
39,580
40,420
41,1080
42,1635
43,2475
44,590
45,3165
46,255
47,1340
48,440
49,2380
50,880
51,1885
52,2485
53,1275
54,950
55,940
56,1460
57,2535
58,2815
59,710
60,3390
61,1770
62,2265
63,1870
64,2115
65,2975
66,850
67,1095
68,1195
69,2175
70,1560
71,1575
72,2470
73,2675
74,3490
75,1685
76,2515
77,2035
78,2405
79,3170
80,845
81,1550
82,2525
83,840
84,385
85,595
86,2275
87,2065
88,1195
89,3665
90,1030
91,885
92,770
93,355
94,835
95,1540
96,1060
97,110
98,1325
99,485
100,1310
101,2205
102,2010
103,1795
104,1970
105,2505
106,480
107,730
108,1670
109,2610
110,970
111,2415
112,1870
113,1775
114,2525
115,2135
116,2710
117,775
118,1750
119,435
120,2330
121,1605
122,1285
123,2540
124,2455
126,250
127,765
128,470
129,95
130,1510
131,1025
132,475
133,865
134,600
135,2275
136,1555
137,2010
138,2410
139,55
140,2565
141,2130
142,1845
143,2150
144,1120
145,3235
146,120
147,380
148,585
149,1045
150,1755
151,640
152,105
153,810
154,1465
155,1425
156,1310
157,2025
158,975
159,700
160,490
161,3035
162,370
163,400
164,1895
165,1060
166,1100
167,2850
168,3105
169,715
170,3025
171,2030
172,500
173,440
174,1105
175,1330
176,25
177,105
178,810
179,295
180,1540
181,1335
182,3625
183,2440
184,790
185,675
186,1890
187,740
188,2355
189,1705
190,2250
191,300
192,3080
193,2495
194,670
195,115
196,2555
197,2100
198,2065
199,1140
200,1145
201,2635
202,505
203,2280
204,1565
205,885
206,2145
207,1025
208,1435
209,2530
210,2290
211,750
212,235
213,1760
214,1670
215,380
216,1205
217,1620
218,1335
219,2250
220,1520
221,1600
222,670
223,20
224,550
225,1925
226,810
227,3285
228,1870
229,1195
230,885
231,475
232,75
233,3310
234,1840
235,780
236,380
237,705
238,2410
239,785
240,620
241,1020
242,1440
243,405
244,2130
245,1070
246,2090
247,2760
248,125
249,2325
250,2225
251,970
252,3405
253,1880
254,1030
255,1690
256,2225
257,655
258,205
259,2175
260,2430
261,735
262,2850
263,890
264,1075
265,1695
266,1980
267,1080
268,1840
269,380
270,1345
271,1640
272,910
273,1350
274,850
275,2775
276,2420
277,2260
278,1010
279,500
280,1375
281,625
282,2820
283,2165
284,310
285,1415
286,3410
287,940
288,910
289,2250
290,1990
291,680
292,270
293,1970
294,605
295,1565
296,115
297,2155
298,295
299,2580
300,2210
301,1240
302,2515
303,3785
304,340
305,1610
306,1875
307,570
308,3515
309,620
310,1450
311,490
312,460
313,1230
314,80
315,730
316,1475
317,910
318,2480
319,2115
320,2100
321,590
322,1105
323,2360
324,2170
325,620
326,2320
327,1310
328,1770
329,1970
330,550
331,2060
332,2590
333,870
334,85
335,2090
336,310
337,1320
338,270
339,1495
340,570
341,2960
342,1420
343,1720
344,2695
345,530
346,2060
347,1905
348,2640
349,1140
350,1210
351,130
352,1500
353,2430
354,455
355,2275
356,1370
357,3215
358,2730
359,1380
360,290
361,2325
362,485
363,555
364,690
365,3430
366,520
367,895
368,1165
369,740
370,1890
371,2070
372,315
373,2015
374,1915
375,1190
376,2120
377,2325
378,630
379,650
380,1485
381,2090
382,875
383,3295
384,2565
385,270
386,875
387,1540
388,3045
389,2710
390,1380
391,595
392,935
393,710
394,575
395,820
396,640
397,2110
398,1395
399,1605
400,640
401,2005
402,2025
403,1400
404,2075
405,665
406,2555
407,645
408,1170
409,2190
410,970
411,3535
412,2215
413,3705
414,870
415,1445
416,2260
417,1350
418,725
419,3785
420,1840
421,2095
422,1605
423,1015
424,840
425,2625
426,2145
427,1320
428,1660
429,965
430,85
431,1900
432,1630
433,355
434,1950
435,940
436,1585
437,505
438,1180
439,2380
440,950
441,285
442,895
443,1035
444,970
445,905
446,2155
447,1800
448,1020
449,1200
450,790
451,2450
452,1520
453,1790
454,670
455,940
456,580
457,2160
458,350
459,1885
460,905
461,1475
462,1080
463,610
464,475
465,800
466,245
467,90
468,650
469,1150
470,470
471,500
472,865
473,635
474,215
475,1105
476,680
477,2345
478,775
479,1950
480,1690
481,2410
482,1775
483,1685
484,250
485,1820
486,2125
487,460
488,1660
489,1570
490,1940
491,210
492,1105
493,190
494,1875
495,1455
496,3000
497,1490
498,865
499,1870
500,995
501,455
502,2335
503,2170
504,1345
505,1605
506,345
507,60
508,380
509,260
510,1605
511,1765
512,2440
513,2045
514,1135
515,2110
516,2630
517,1075
518,295
519,950
520,550
521,635
522,1250
523,835
524,340
525,670
526,80
527,2960
528,1600
529,520
530,515
531,135
532,1565
533,3190
534,1835
535,2325
536,3110
537,3005
538,2755
539,980
540,1710
541,3350
542,1790
543,590
544,2980
545,1555
546,535
547,905
548,695
549,2000
550,835
551,1395
552,1070
553,650
554,805
555,525
556,2050
557,1560
558,1970
559,840
560,680
561,2505
562,1290
563,1325
564,765
565,1220
566,2755
567,2300
568,1775
569,1295
570,2245
571,985
572,15
573,2635
574,1360
575,680
576,2305
577,1595
578,1530
579,540
580,2070
581,1030
582,1965
583,1400
584,2090
585,1715
586,700
587,2275
588,790
589,1365
590,2730
591,1130
592,3290
593,1715
594,150
595,3365
596,1265
597,315
598,120
599,1895
600,755
601,2195
602,1745
603,2020
604,865
605,805
606,435
607,500
608,475
609,3395
610,2020
611,1015
612,1995
613,3415
614,625
615,1930
616,2835
617,1215
618,1680
619,1045
620,1950
621,965
622,565
623,20
624,2045
625,1490
626,750
627,300
628,85
629,860
630,610
631,1120
632,2230
633,3155
634,1590
635,1145
636,1490
637,2010
638,3405
639,2350
640,720
641,1820
642,440
643,2615
644,630
645,2720
646,235
647,2320
648,1935
649,1320
650,2295
651,1610
652,2230
653,835
654,745
655,1985
656,2240
657,2240
658,110
659,575
660,405
661,275
662,905
663,2760
664,1950
665,2060
666,185
667,440
668,365
669,1415
670,1280
671,920
672,925
673,3235
674,1995
675,2695
676,1435
677,1250
678,1195
679,1195
680,2990
681,335
682,615
683,2540
684,465
685,840
686,1555
687,3200
688,1820
689,1425
690,640
691,2365
692,1020
693,225
694,2190
695,895
696,605
697,2515
698,1495
699,835
700,435
701,230
702,735
703,450
704,2710
705,445
706,1295
707,1930
708,80
709,1860
710,690
711,460
712,300
713,360
714,960
715,510
716,430
717,2155
718,1500
719,570
720,1600
721,1290
722,335
723,2405
724,2970
725,1165
726,1070
727,2410
728,735
729,760
730,1670
731,1865
732,2020
733,2445
734,1345
735,1720
736,2055
737,3085
738,1895
739,2540
740,2170
741,1275
742,2460
743,2975
744,1100
745,2080
746,1785
747,85
748,2550
749,1305
750,530
751,1450
752,3910
753,780
754,975
755,1035
756,550
757,330
758,3365
759,3400
760,2570
761,665
762,2105
763,190
764,1005
765,260
766,1210
767,2165
768,2730
769,1945
770,1415
771,855
772,1445
773,145
774,2450
775,1215
776,3460
777,1520
778,245
779,1905
780,85
781,1175
782,975
783,920
784,620
785,2245
786,1755
787,2470
788,1910
789,1360
790,1855
791,570
792,3370
793,75
794,1170
795,670
796,105
797,1895
798,3335
799,535
800,905
801,2165
802,2630
803,2740
804,2785
805,95
806,2115
807,440
808,2820
809,480
810,1455
811,1980
812,655
813,1420
814,595
815,3025
816,2870
817,3845
818,450
819,1095
820,600
821,1220
822,2325
823,700
824,345
825,615
826,1075
827,155
828,740
829,1785
830,2470
831,2020
832,455
833,570
834,235
835,1440
836,1725
837,3075
838,2610
839,530
840,930
841,760
842,1865
843,2415
844,1420
845,1885
846,2015
847,1255
848,2665
849,840
850,355
851,2425
852,2675
853,1395
854,2070
855,1035
856,1090
857,830
858,2545
859,150
860,2520
861,70
862,895
863,2465
864,2075
865,2450
866,160
867,2080
868,990
869,3155
870,1865
871,245
872,265
873,2405
874,515
875,700
876,1485
877,1540
878,1950
879,425
880,825
881,690
882,350
883,3070
884,295
885,1750
886,1680
887,725
888,2095
889,280
890,75
891,585
892,2365
893,1695
894,900
895,20
896,1520
897,2530
898,2260
899,3245
900,495
901,1795
902,490
903,1225
904,315
905,2480
906,1510
907,950
908,445
909,2485
910,1885
911,130
912,225
913,1295
914,1290
915,1715
916,2580
917,70
918,1125
919,1625
920,1415
921,1265
922,535
923,415
924,1545
925,2660
926,1085
927,1480
928,2190
929,1400
930,1950
931,1975
932,785
933,1985
934,445
935,530
936,400
937,255
938,1055
939,565
940,255
941,1465
942,1850
943,2135
944,1975
945,2585
946,135
947,2390
948,3345
949,655
950,3645
951,2630
952,2405
953,3390
954,2470
955,2045
956,885
957,805
958,2540
959,370
960,350
961,1490
962,2690
963,2245
964,2520
965,465
966,1785
967,3455
968,725
969,1380
970,1845
971,2285
972,1730
973,1060
974,290
975,2640
976,1230
977,3430
978,1375
979,970
980,2030
981,2290
982,1380
983,1060
984,2370
985,1710
986,65
987,3270
988,1440
989,1570
990,480
991,415
992,1255
993,2255
994,1765
995,2675
996,820
997,380
998,1530
999,1230
1000,425
