id,visit_count,last_visit_date,days_since_last_visit,retained,loyalty
1,58,2024-11-10,47,True,Highly Loyal
2,76,2024-12-22,5,True,Extremely Loyal
3,24,2024-08-25,124,True,Highly Loyal
4,89,2024-11-16,41,True,Highly Loyal
5,59,2024-11-25,32,True,Highly Loyal
6,7,2024-04-13,258,True,Elevated Risk
7,23,2024-09-06,112,True,Highly Loyal
8,44,2024-08-26,123,True,Highly Loyal
9,57,2024-10-20,68,True,Highly Loyal
10,24,2024-10-26,62,True,Highly Loyal
11,78,2024-12-26,1,True,Extremely Loyal
12,4,2024-10-08,80,True,Low Loyal
13,57,2024-08-13,136,True,Highly Loyal
14,20,2024-11-06,51,True,Highly Loyal
15,8,2024-09-23,95,True,Elevated Risk
16,35,2024-10-21,67,True,Highly Loyal
17,7,2024-09-15,103,True,Elevated Risk
18,2,2023-02-10,686,True,At Risk
19,77,2024-11-14,43,True,Highly Loyal
20,7,2024-08-15,134,True,Elevated Risk
21,51,2024-11-27,30,True,Extremely Loyal
22,19,2024-09-02,116,True,Highly Loyal
23,3,2024-09-18,100,True,Low Loyal
24,12,2024-11-21,36,True,Highly Loyal
25,2,2024-08-12,137,True,Low Loyal
26,4,2023-05-02,605,True,At Risk
27,19,2024-07-24,156,True,Highly Loyal
28,27,2024-06-21,189,True,Highly Loyal
29,45,2024-09-25,93,True,Highly Loyal
30,8,2024-10-06,82,True,Moderate Loyal
31,31,2024-07-21,159,True,Highly Loyal
32,51,2024-10-17,71,True,Highly Loyal
33,57,2024-09-18,100,True,Highly Loyal
34,39,2024-10-07,81,True,Highly Loyal
35,30,2024-09-20,98,True,Highly Loyal
36,104,2024-11-09,48,True,Highly Loyal
37,47,2024-10-26,62,True,Highly Loyal
38,6,2024-02-15,316,True,Elevated Risk
39,14,2024-09-22,96,True,Highly Loyal
40,11,2024-11-10,47,True,Moderate Loyal
41,33,2024-11-03,54,True,Highly Loyal
42,43,2024-10-25,63,True,Highly Loyal
43,69,2024-11-25,32,True,Highly Loyal
44,15,2024-10-13,75,True,Highly Loyal
45,82,2024-12-23,4,True,Extremely Loyal
46,8,2024-10-13,75,True,Moderate Loyal
47,36,2024-10-10,78,True,Highly Loyal
48,13,2024-10-27,61,True,Highly Loyal
49,63,2024-11-05,52,True,Highly Loyal
50,24,2024-11-16,41,True,Highly Loyal
51,51,2024-10-22,66,True,Highly Loyal
52,64,2024-12-27,0,True,Extremely Loyal
53,36,2024-08-26,123,True,Highly Loyal
54,27,2024-08-06,143,True,Highly Loyal
55,24,2024-11-19,38,True,Highly Loyal
56,42,2024-10-10,78,True,Highly Loyal
57,67,2024-11-09,48,True,Highly Loyal
58,76,2024-11-04,53,True,Highly Loyal
59,17,2024-11-26,31,True,Highly Loyal
60,88,2024-10-23,65,True,Highly Loyal
61,49,2024-10-19,69,True,Highly Loyal
62,67,2024-12-27,0,True,Extremely Loyal
63,50,2024-11-11,46,True,Highly Loyal
64,61,2024-12-05,22,True,Extremely Loyal
65,76,2024-12-24,3,True,Extremely Loyal
66,23,2024-09-16,102,True,Highly Loyal
67,29,2024-09-20,98,True,Highly Loyal
68,29,2024-08-26,123,True,Highly Loyal
69,54,2024-11-17,40,True,Highly Loyal
70,41,2024-10-24,64,True,Highly Loyal
71,44,2024-11-01,56,True,Highly Loyal
72,67,2024-12-17,10,True,Extremely Loyal
73,72,2024-11-19,38,True,Highly Loyal
74,88,2024-12-16,11,True,Extremely Loyal
75,44,2024-12-05,22,True,Extremely Loyal
76,71,2024-10-11,77,True,Highly Loyal
77,50,2024-07-11,169,True,Highly Loyal
78,63,2024-11-01,56,True,Highly Loyal
79,83,2024-10-09,79,True,Highly Loyal
80,24,2024-10-06,82,True,Highly Loyal
81,42,2024-11-01,56,True,Highly Loyal
82,66,2024-10-12,76,True,Highly Loyal
83,24,2024-10-20,68,True,Highly Loyal
84,13,2024-08-15,134,True,Highly Loyal
85,18,2024-08-17,132,True,Highly Loyal
86,60,2024-09-12,106,True,Highly Loyal
87,56,2024-12-06,21,True,Extremely Loyal
88,32,2024-10-23,65,True,Highly Loyal
89,96,2024-11-01,56,True,Highly Loyal
90,32,2024-08-26,123,True,Highly Loyal
91,22,2024-10-20,68,True,Highly Loyal
92,21,2024-10-15,73,True,Highly Loyal
93,12,2024-11-18,39,True,Highly Loyal
94,22,2024-10-08,80,True,Highly Loyal
95,36,2024-11-04,53,True,Highly Loyal
96,25,2024-09-22,96,True,Highly Loyal
97,3,2024-02-01,330,True,At Risk
98,40,2024-11-26,31,True,Highly Loyal
99,13,2024-10-04,84,True,Highly Loyal
100,32,2024-09-25,93,True,Highly Loyal
101,64,2024-11-13,44,True,Highly Loyal
102,51,2024-12-04,23,True,Extremely Loyal
103,50,2024-12-15,12,True,Extremely Loyal
104,52,2024-12-05,22,True,Extremely Loyal
105,61,2024-12-16,11,True,Extremely Loyal
106,13,2024-09-23,95,True,Highly Loyal
107,20,2024-09-19,99,True,Highly Loyal
108,44,2024-10-14,74,True,Highly Loyal
109,66,2024-12-22,5,True,Extremely Loyal
110,26,2024-12-19,8,True,Extremely Loyal
111,65,2024-12-20,7,True,Extremely Loyal
112,54,2024-10-12,76,True,Highly Loyal
113,49,2024-11-25,32,True,Highly Loyal
114,67,2024-11-08,49,True,Highly Loyal
115,56,2024-12-10,17,True,Extremely Loyal
116,75,2024-10-09,79,True,Highly Loyal
117,21,2024-10-25,63,True,Highly Loyal
118,50,2024-10-25,63,True,Highly Loyal
119,12,2024-09-11,107,True,Highly Loyal
120,62,2024-09-17,101,True,Highly Loyal
121,45,2024-10-12,76,True,Highly Loyal
122,33,2024-09-23,95,True,Highly Loyal
123,67,2024-09-14,104,True,Highly Loyal
124,66,2024-11-09,48,True,Highly Loyal
126,6,2024-08-22,127,True,Elevated Risk
127,19,2024-09-06,112,True,Highly Loyal
128,12,2024-02-24,307,True,Highly Loyal
129,3,2022-09-03,846,True,At Risk
130,40,2024-11-05,52,True,Highly Loyal
131,29,2024-09-22,96,True,Highly Loyal
132,13,2024-09-15,103,True,Highly Loyal
133,21,2024-11-16,41,True,Highly Loyal
134,17,2024-12-16,11,True,Extremely Loyal
135,58,2024-10-13,75,True,Highly Loyal
136,40,2024-09-07,111,True,Highly Loyal
137,51,2024-08-18,131,True,Highly Loyal
138,62,2024-08-20,129,True,Highly Loyal
139,2,2023-04-04,633,True,At Risk
140,67,2024-11-23,34,True,Highly Loyal
141,56,2024-12-15,12,True,Extremely Loyal
142,50,2024-11-17,40,True,Highly Loyal
143,58,2024-10-18,70,True,Highly Loyal
144,28,2024-12-24,3,True,Extremely Loyal
145,87,2024-11-23,34,True,Highly Loyal
146,3,2023-10-12,442,True,At Risk
147,12,2024-07-23,157,True,Highly Loyal
148,16,2024-10-04,84,True,Highly Loyal
