ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,901.9300000000001,184.54635835094305,691.3280122032635,901.9300000000001,901.9300000000001,-466.4801317669819,-466.4801317669819,-466.4801317669819,18.187768370962864,18.187768370962864,18.187768370962864,-484.6679001379448,-484.6679001379448,-484.6679001379448,0.0,0.0,0.0,435.44986823301815
2020-01-02,901.9194888158069,198.32384148154782,680.9831368981446,901.9194888158069,901.9194888158069,-473.16752600927947,-473.16752600927947,-473.16752600927947,-4.846181999975453,-4.846181999975453,-4.846181999975453,-468.32134400930397,-468.32134400930397,-468.32134400930397,0.0,0.0,0.0,428.7519628065274
2020-01-03,901.9089776316137,173.0331561300825,670.575039445239,901.9089776316137,901.9089776316137,-479.24557332862224,-479.24557332862224,-479.24557332862224,-26.348946947633294,-26.348946947633294,-26.348946947633294,-452.89662638098895,-452.89662638098895,-452.89662638098895,0.0,0.0,0.0,422.6634043029914
2020-01-04,901.8984664474203,230.21183728063684,729.3037132450837,901.8984664474203,901.8984664474203,-432.98213052415497,-432.98213052415497,-432.98213052415497,5.516960428028571,5.516960428028571,5.516960428028571,-438.4990909521835,-438.4990909521835,-438.4990909521835,0.0,0.0,0.0,468.91633592326536
2020-01-05,901.8879552632272,242.0366955858828,751.0632519737646,901.8879552632272,901.8879552632272,-415.44355225720665,-415.44355225720665,-415.44355225720665,9.75777878339914,9.75777878339914,9.75777878339914,-425.20133104060574,-425.20133104060574,-425.20133104060574,0.0,0.0,0.0,486.4444030060206
2020-01-06,901.877444079034,266.27318195226184,766.3320148898413,901.877444079034,901.877444079034,-397.7168449976248,-397.7168449976248,-397.7168449976248,15.325618498902983,15.325618498902983,15.325618498902983,-413.0424634965278,-413.0424634965278,-413.0424634965278,0.0,0.0,0.0,504.16059908140926
2020-01-07,901.8669328948408,228.31141089311745,745.4780469240211,901.8669328948408,901.8669328948408,-419.6212101571204,-419.6212101571204,-419.6212101571204,-17.592997133750995,-17.592997133750995,-17.592997133750995,-402.0282130233694,-402.0282130233694,-402.0282130233694,0.0,0.0,0.0,482.2457227377204
2020-01-08,901.8564217106476,286.4201351101076,779.5219816008932,901.8564217106476,901.8564217106476,-373.94402627272143,-373.94402627272143,-373.94402627272143,18.187768371024056,18.187768371024056,18.187768371024056,-392.1317946437455,-392.1317946437455,-392.1317946437455,0.0,0.0,0.0,527.9123954379262
2020-01-09,901.8459105264545,256.55688768343623,753.4992247623157,901.8459105264545,901.8459105264545,-388.141744885652,-388.141744885652,-388.141744885652,-4.846181999976497,-4.846181999976497,-4.846181999976497,-383.2955628856755,-383.2955628856755,-383.2955628856755,0.0,0.0,0.0,513.7041656408026
2020-01-10,901.8353993422612,243.45300320039317,725.9768529848816,901.8353993422612,901.8353993422612,-401.7823250114495,-401.7823250114495,-401.7823250114495,-26.348946947555635,-26.348946947555635,-26.348946947555635,-375.4333780638938,-375.4333780638938,-375.4333780638938,0.0,0.0,0.0,500.05307433081174
2020-01-11,901.824888158068,287.2973828813838,787.0054919455605,901.824888158068,901.824888158068,-362.9166628108894,-362.9166628108894,-362.9166628108894,5.516960427999043,5.516960427999043,5.516960427999043,-368.43362323888846,-368.43362323888846,-368.43362323888846,0.0,0.0,0.0,538.9082253471786
2020-01-12,901.8143769738749,288.93273519499,789.6331671594857,901.8143769738749,901.8143769738749,-352.4050116665416,-352.4050116665416,-352.4050116665416,9.757778783390059,9.757778783390059,9.757778783390059,-362.16279044993166,-362.16279044993166,-362.16279044993166,0.0,0.0,0.0,549.4093653073332
2020-01-13,901.8038657896817,302.14298869150144,817.5750091452092,901.8038657896817,901.8038657896817,-341.14392349443597,-341.14392349443597,-341.14392349443597,15.325618498883253,15.325618498883253,15.325618498883253,-356.46954199331924,-356.46954199331924,-356.46954199331924,0.0,0.0,0.0,560.6599422952457
2020-01-14,901.7933546054885,295.0505957133192,784.2586855025494,901.7933546054885,901.7933546054885,-368.7821392774808,-368.7821392774808,-368.7821392774808,-17.59299713377257,-17.59299713377257,-17.59299713377257,-351.1891421437082,-351.1891421437082,-351.1891421437082,0.0,0.0,0.0,533.0112153280077
2020-01-15,901.7828434212953,333.5637894331201,819.607508050298,901.7828434212953,901.7828434212953,-327.9603786570988,-327.9603786570988,-327.9603786570988,18.187768370978077,18.187768370978077,18.187768370978077,-346.1481470280769,-346.1481470280769,-346.1481470280769,0.0,0.0,0.0,573.8224647641965
2020-01-16,901.7723322371021,309.544954318187,809.0028297697907,901.7723322371021,901.7723322371021,-346.01541751524474,-346.01541751524474,-346.01541751524474,-4.846181999977539,-4.846181999977539,-4.846181999977539,-341.1692355152672,-341.1692355152672,-341.1692355152672,0.0,0.0,0.0,555.7569147218574
2020-01-17,901.7618210529089,273.59962843284285,789.2762224154909,901.7618210529089,901.7618210529089,-362.42500901532566,-362.42500901532566,-362.42500901532566,-26.34894694775745,-26.34894694775745,-26.34894694775745,-336.07606206756816,-336.07606206756816,-336.07606206756816,0.0,0.0,0.0,539.3368120375833
2020-01-18,901.7513098687157,327.0572072896697,834.8920046105409,901.7513098687157,901.7513098687157,-325.1810530972053,-325.1810530972053,-325.1810530972053,5.51696042811499,5.51696042811499,5.51696042811499,-330.6980135253202,-330.6980135253202,-330.6980135253202,0.0,0.0,0.0,576.5702567715105
2020-01-19,901.7407986845226,337.15760206291037,852.5721013156525,901.7407986845226,901.7407986845226,-315.1169769162841,-315.1169769162841,-315.1169769162841,9.75777878342228,9.75777878342228,9.75777878342228,-324.87475569970644,-324.87475569970644,-324.87475569970644,0.0,0.0,0.0,586.6238217682385
2020-01-20,901.7302875003294,348.72283862703904,850.3403251685438,901.7302875003294,901.7302875003294,-303.13484379940405,-303.13484379940405,-303.13484379940405,15.32561849886521,15.32561849886521,15.32561849886521,-318.46046229826925,-318.46046229826925,-318.46046229826925,0.0,0.0,0.0,598.5954437009253
2020-01-21,901.7197763161362,320.7423625995675,814.1054531529236,901.7197763161362,901.7197763161362,-328.92062503625664,-328.92062503625664,-328.92062503625664,-17.59299713379415,-17.59299713379415,-17.59299713379415,-311.32762790246255,-311.32762790246255,-311.32762790246255,0.0,0.0,0.0,572.7991512798795
2020-01-22,901.7092651319429,385.2114973217723,872.3915130632522,901.7092651319429,901.7092651319429,-285.1826098224134,-285.1826098224134,-285.1826098224134,18.18776837103926,18.18776837103926,18.18776837103926,-303.3703781934526,-303.3703781934526,-303.3703781934526,0.0,0.0,0.0,616.5266553095295
